,Track,Distance,Condish,Par Time
27,gilgandra,1300,heavy,
,Track,Distance,Condish,Par Time
,Track,Distance,Condish,Par Time
1,cessnock,2125,good,131.9158823529412
2,cessnock,2125,soft,134.9433333333333
3,cessnock,2125,heavy,134.75
4,cessnock,1150,good,67.86018518518519
5,cessnock,1150,soft,69.6557142857143
6,cessnock,1150,heavy,69.915
7,cessnock,900,good,50.64658536585365
8,cessnock,900,soft,51.99583333333334
9,cessnock,900,heavy,52.343333333333334
10,cessnock,1350,good,80.74545454545454
11,cessnock,1350,soft,82.78083333333332
12,cessnock,1350,heavy,83.195
13,cessnock,1570,good,95.6624324324324
14,cessnock,1570,soft,97.9809090909091
15,cessnock,1570,heavy,99.00999999999999
16,cessnock,1550,good,96.07
17,cessnock,1550,soft,
18,cessnock,1550,heavy,
,Track,Distance,Condish,Par Time
1,pinjarra-scarpside,1000,good,57.68399999999999
2,pinjarra-scarpside,1000,soft,58.775
3,pinjarra-scarpside,1000,heavy,
4,pinjarra-scarpside,1800,good,110.59714285714287
5,pinjarra-scarpside,1800,soft,111.57
6,pinjarra-scarpside,1800,heavy,
7,pinjarra-scarpside,1200,good,71.72999999999999
8,pinjarra-scarpside,1200,soft,
9,pinjarra-scarpside,1200,heavy,
10,pinjarra-scarpside,1500,good,91.39999999999999
11,pinjarra-scarpside,1500,soft,
12,pinjarra-scarpside,1500,heavy,
13,pinjarra-scarpside,1300,good,78.27466666666666
14,pinjarra-scarpside,1300,soft,78.545
15,pinjarra-scarpside,1300,heavy,
16,pinjarra-scarpside,1600,good,98.03454545454547
17,pinjarra-scarpside,1600,soft,
18,pinjarra-scarpside,1600,heavy,
19,pinjarra-scarpside,2200,good,139.12
20,pinjarra-scarpside,2200,soft,140.4
21,pinjarra-scarpside,2200,heavy,
22,pinjarra-scarpside,1613,good,97.21
23,pinjarra-scarpside,1613,soft,
24,pinjarra-scarpside,1613,heavy,
25,pinjarra-scarpside,1400,good,84.72666666666667
26,pinjarra-scarpside,1400,soft,85.37
27,pinjarra-scarpside,1400,heavy,
28,pinjarra-scarpside,1609,good,98.31
29,pinjarra-scarpside,1609,soft,98.8
30,pinjarra-scarpside,1609,heavy,
31,pinjarra-scarpside,1700,good,104.48333333333333
32,pinjarra-scarpside,1700,soft,
33,pinjarra-scarpside,1700,heavy,
34,pinjarra-scarpside,2300,good,146.69
35,pinjarra-scarpside,2300,soft,
36,pinjarra-scarpside,2300,heavy,
37,pinjarra-scarpside,2206,good,139.20499999999998
38,pinjarra-scarpside,2206,soft,
39,pinjarra-scarpside,2206,heavy,
,Track,Distance,Condish,Par Time
1,swan-hill,975,good,57.01392857142857
2,swan-hill,975,soft,57.57842105263159
3,swan-hill,975,heavy,59.05
4,swan-hill,1200,good,71.38199999999999
5,swan-hill,1200,soft,72.24466666666665
6,swan-hill,1200,heavy,74.18
7,swan-hill,1600,good,98.25245901639347
8,swan-hill,1600,soft,99.85249999999999
9,swan-hill,1600,heavy,
10,swan-hill,2400,good,157.72055555555553
11,swan-hill,2400,soft,160.39000000000001
12,swan-hill,2400,heavy,164.47
13,swan-hill,1300,good,77.76897435897435
14,swan-hill,1300,soft,78.73299999999999
15,swan-hill,1300,heavy,
16,swan-hill,2100,good,132.42272727272726
17,swan-hill,2100,soft,133.70000000000002
18,swan-hill,2100,heavy,
,Track,Distance,Condish,Par Time
1,taree,1000,good,58.05578947368422
2,taree,1000,soft,58.435185185185176
3,taree,1000,heavy,59.877692307692314
4,taree,1400,good,84.9211111111111
5,taree,1400,soft,85.81400000000002
6,taree,1400,heavy,88.02833333333332
7,taree,1250,good,74.32041666666667
8,taree,1250,soft,74.91238095238096
9,taree,1250,heavy,76.15
10,taree,1600,good,98.3170588235294
11,taree,1600,soft,99.54333333333335
12,taree,1600,heavy,100.96700000000001
13,taree,1300,good,78.49111111111112
14,taree,1300,soft,78.99111111111112
15,taree,1300,heavy,80.96
16,taree,2000,good,124.94000000000001
17,taree,2000,soft,126.37333333333333
18,taree,2000,heavy,130.97
19,taree,1614,good,100.16
